t tx ty tvx tvy zx zy ex ey evx evy fdvx fdvy sx sy errz errkf
15.2000 29.9287 33.4286 1.4174 1.0597 30.1624 33.0540 30.2261 33.1450 1.9186 1.1092 10.4549 -2.7003 0.3934 0.2300 0.4415 0.4109
15.3000 30.0750 33.5429 1.4013 1.2845 29.9111 34.3402 30.3395 33.4855 1.8527 1.3815 -2.5128 12.8612 0.3934 0.2300 0.8139 0.2707
15.4000 30.2166 33.6626 1.4060 1.0343 31.1432 33.6587 30.6205 33.6310 1.9331 1.3903 12.3205 -6.8148 0.3934 0.2300 0.9266 0.4052
15.5000 30.3631 33.7530 1.4616 0.8332 30.7721 33.7871 30.8074 33.7737 1.9277 1.3946 -3.7105 1.2839 0.3934 0.2300 0.4104 0.4447
15.6000 30.5081 33.8252 1.4358 0.7524 32.3580 33.8612 31.2103 33.9021 2.1043 1.3816 15.8587 0.7413 0.3934 0.2300 1.8502 0.7064
15.7000 30.6482 33.9020 1.5270 0.8254 31.6501 33.3675 31.4563 33.8979 2.1341 1.2126 -7.0787 -4.9374 0.3934 0.2300 1.1356 0.8081
15.8000 30.7889 33.9887 1.4409 0.9080 30.3732 35.5606 31.4690 34.3454 1.9655 1.5997 -12.7691 21.9317 0.3934 0.2300 1.6259 0.7679
15.9000 30.9317 34.0708 1.4876 0.9915 31.0660 34.3287 31.5727 34.4680 1.8876 1.5553 6.9283 -12.3189 0.3934 0.2300 0.2908 0.7541
16.0000 31.0856 34.1627 1.6869 0.9660 30.5900 33.6885 31.5802 34.4256 1.7353 1.3205 -4.7601 -6.4022 0.3934 0.2300 0.6859 0.5601
16.1000 31.2512 34.2698 1.7436 0.9737 31.5954 34.1555 31.7292 34.4725 1.7147 1.2195 10.0537 4.6697 0.3934 0.2300 0.3626 0.5192
